name,radius,period,duration,source
TOI-1106.01,14.7645,11.1149,2.26,TESS
TOI-1107.01,13.898174,4.0782392,4.8475616,TESS
TOI-1108.01,22.1531,7.14386,1.467,TESS
TOI-1109.01,8.46404,7.04083,2.979,TESS
TOI-111.01,13.086872,2.1061569,1.4688934,TESS
TOI-1110.01,11.1276,2.4545635,2.321,TESS
TOI-1111.01,14.1098,11.4756978,0.808,TESS
TOI-1112.01,4.92567,2.78186,2.456,TESS
TOI-1113.01,4.59203,6.4410082,1.798,TESS
TOI-1115.01,15.8858,4.45199,2.109,TESS
TOI-1116.01,2.3107394,5.0100708,2.0644756,TESS
TOI-1117.01,2.56778,2.2281625,2.015,TESS
TOI-1119.01,23.9726,10.95663,3.588,TESS
TOI-112.01,13.8516093,2.4997996,2.865171,TESS
TOI-1120.01,13.3343,1.66226,3.321,TESS
TOI-1122.01,4.3503,3.6245513,3.042,TESS
TOI-1123.01,15.1764,1.20928,1.886,TESS
TOI-1124.01,14.0061,3.5187707,2.408,TESS
TOI-1125.01,4.1624907,0.7724825,1.3744974,TESS
TOI-1126.01,2.36498,1.6268695,3.231,TESS
TOI-1128.01,6.24633,13.5499,1.795,TESS
TOI-1129.01,19.9664,4.43651,3.365,TESS
TOI-113.01,14.201803,3.372877,2.63426,TESS
TOI-1130.01,11.1424,8.34998,1.836,TESS
TOI-1130.02,3.7548333,4.0686405,1.8373729,TESS
TOI-1131.01,4.906408,0.5860366,0.8098934,TESS
TOI-1132.01,3.34528,1.5502952,2.938,TESS
TOI-1133.01,4.86242,1.80709,3.297,TESS
TOI-1134.01,18.1458,18.6922101,7.765,TESS
TOI-1135.01,9.06883,8.0277326,4.284,TESS
TOI-1136.01,5.58857,12.5187279,5.38,TESS
TOI-1136.02,2.51593,6.2586065,3.201,TESS
TOI-1136.03,2.71349,26.3208756,4.414,TESS
TOI-1136.04,2.1597669,18.795547,4.3425576,TESS
TOI-1137.01,34.7561624,1.3206356,1.6000996,TESS
TOI-1138.01,6.23181,0.64971,2.076,TESS
TOI-1139.01,11.3678,4.4780798,4.513,TESS
TOI-114.01,10.5135877,3.2887898,3.4367717,TESS
TOI-1140.01,12.05,13.7431084,2.285,TESS
TOI-1141.01,45.2204505,16.9487087,4.2887767,TESS
TOI-1142.01,42.2321,3.3686634,3.012,TESS
TOI-1143.01,17.4989,11.2071839,4.366,TESS
TOI-1144.01,5.29152,4.8878037,2.184,TESS
TOI-1146.01,6.1672487,0.660179,1.6349369,TESS
TOI-1147.01,49.1695,10.9278415,2.468,TESS
TOI-1148.01,15.8043,5.5514888,4.335,TESS
TOI-115.01,10.5505922,4.7423709,2.4988145,TESS
TOI-1150.01,20.3402421,1.4810903,4.1588291,TESS
TOI-1151.01,21.2912,3.4741012,3.317,TESS
TOI-1153.01,9.86763,6.0360758,1.255,TESS
TOI-1154.01,2.10208,21.745537,4.196,TESS
TOI-1157.01,35.7944,13.0727479,3.044,TESS
TOI-1158.01,24.4055,2.9258727,4.075,TESS
TOI-1159.01,5.28215,0.73774,0.636,TESS
TOI-116.01,11.9514993,2.7985802,2.3801043,TESS
TOI-1165.01,14.688,2.2552845,2.05,TESS
TOI-1166.01,8.29008,1.8824539,2.46,TESS
